surah_number,ayah_number,page_number,x,y,width,height,polygon
77,45,581,10.17915309446254,67.1082686158063,6.188925081433225,4.065783462768388,"[{""x"": 10.17915309446254, ""y"": 67.1082686158063, ""width"": 6.188925081433225, ""height"": 4.065783462768388}, {""x"": 66.12377850162866, ""y"": 71.7679305619004, ""width"": 24.104234527687296, ""height"": 4.6139789858382825}]"
77,46,581,19.38110749185668,71.44814984010964,43.159609120521175,5.207857469164002,"[{""x"": 19.381107491856678, ""y"": 71.44814984010964, ""width"": 43.159609120521175, ""height"": 5.207857469164002}]"
77,47,581,9.85342019543974,72.04202832343536,6.107491856677524,4.111466423024212,"[{""x"": 9.853420195439739, ""y"": 72.04202832343536, ""width"": 6.107491856677524, ""height"": 4.111466423024212}, {""x"": 64.65798045602605, ""y"": 76.61032434901782, ""width"": 25.407166123778502, ""height"": 4.522613065326634}]"
77,48,581,14.65798045602606,76.51895842850617,46.498371335504885,4.842393787117405,"[{""x"": 14.65798045602606, ""y"": 76.51895842850617, ""width"": 46.498371335504885, ""height"": 4.842393787117405}]"
77,49,581,58.71335504885994,81.36135221562357,31.27035830618892,4.705344906349931,"[{""x"": 58.71335504885994, ""y"": 81.36135221562357, ""width"": 31.27035830618892, ""height"": 4.705344906349931}]"
77,50,581,14.332247557003258,81.45271813613523,40.71661237785016,5.070808588396528,"[{""x"": 14.332247557003258, ""y"": 81.45271813613523, ""width"": 40.71661237785016, ""height"": 5.070808588396528}]"
78,1,582,72.55700325732899,24.02923709456373,17.34527687296417,4.659661946094107,"[{""x"": 72.55700325732899, ""y"": 24.029237094563726, ""width"": 17.34527687296417, ""height"": 4.659661946094107}]"
78,2,582,47.55700325732899,24.12060301507537,21.416938110749182,4.79671082686158,"[{""x"": 47.55700325732899, ""y"": 24.120603015075375, ""width"": 21.416938110749186, ""height"": 4.79671082686158}]"
78,3,582,14.332247557003258,24.303334856098672,29.967426710097723,4.6139789858382825,"[{""x"": 14.332247557003258, ""y"": 24.303334856098672, ""width"": 29.967426710097723, ""height"": 4.6139789858382825}]"
78,4,582,67.50814332247556,28.780264961169483,22.31270358306189,4.38556418455916,"[{""x"": 67.50814332247556, ""y"": 28.780264961169483, ""width"": 22.31270358306189, ""height"": 4.3855641845591595}]"
78,5,582,38.68078175895766,28.73458200091366,25.407166123778502,4.705344906349931,"[{""x"": 38.68078175895766, ""y"": 28.73458200091366, ""width"": 25.407166123778502, ""height"": 4.705344906349931}]"
