surah_number,ayah_number,page_number,x,y,width,height,polygon
15,20,263,8.677337826453243,27.455459113750567,21.65122156697557,4.88807674737323,"[{""x"": 8.677337826453243, ""y"": 27.455459113750567, ""width"": 21.65122156697557, ""height"": 4.88807674737323}, {""x"": 40.60657118786858, ""y"": 32.25216994061215, ""width"": 50.463352990732936, ""height"": 5.253540429419826}]"
15,21,263,8.845829823083404,32.29785290086797,27.04296545914069,5.162174508908177,"[{""x"": 8.845829823083404, ""y"": 32.29785290086797, ""width"": 27.04296545914069, ""height"": 5.162174508908177}, {""x"": 27.12721145745577, ""y"": 37.14024668798538, ""width"": 63.942712721145746, ""height"": 5.162174508908177}]"
15,22,263,8.761583824768323,37.41434444952033,13.984835720303284,4.476930105070808,"[{""x"": 9.604043807919124, ""y"": 42.11968935587026, ""width"": 82.05560235888795, ""height"": 5.116491548652353}, {""x"": 8.761583824768323, ""y"": 37.41434444952033, ""width"": 13.984835720303284, ""height"": 4.476930105070808}, {""x"": 74.97893850042124, ""y"": 47.60164458656921, ""width"": 16.427969671440607, ""height"": 4.248515303791685}]"
15,23,263,13.058129738837405,47.00776610324349,57.70850884582982,5.253540429419826,"[{""x"": 13.058129738837405, ""y"": 47.00776610324349, ""width"": 57.70850884582982, ""height"": 5.253540429419826}]"
15,24,263,13.984835720303284,52.124257651895846,76.24262847514743,4.659661946094107,"[{""x"": 13.984835720303284, ""y"": 52.124257651895846, ""width"": 76.24262847514743, ""height"": 4.659661946094107}]"
15,25,263,30.49705139005897,56.87528551850159,60.7413647851727,5.116491548652353,"[{""x"": 30.49705139005897, ""y"": 56.87528551850159, ""width"": 60.7413647851727, ""height"": 5.116491548652353}]"
15,26,263,8.677337826453243,57.10370031978073,17.523167649536646,4.431247144814984,"[{""x"": 8.677337826453243, ""y"": 57.10370031978073, ""width"": 17.523167649536646, ""height"": 4.431247144814984}, {""x"": 40.01684919966302, ""y"": 62.083142987665596, ""width"": 51.221566975568656, ""height"": 5.070808588396528}]"
15,27,263,8.508845829823084,62.0831429876656,26.621735467565287,4.568296025582458,"[{""x"": 8.508845829823084, ""y"": 62.083142987665596, ""width"": 26.621735467565287, ""height"": 4.568296025582458}, {""x"": 63.77422072451559, ""y"": 66.97121973503883, ""width"": 27.80117944397641, ""height"": 4.79671082686158}]"
15,28,263,8.677337826453243,66.925536774783,50.88458298230834,4.705344906349931,"[{""x"": 8.677337826453243, ""y"": 66.925536774783, ""width"": 50.88458298230834, ""height"": 4.705344906349931}, {""x"": 49.87363100252738, ""y"": 71.9506624029237, ""width"": 41.53327716933446, ""height"": 5.116491548652353}]"
15,29,263,8.508845829823084,72.04202832343536,37.405223251895535,4.568296025582458,"[{""x"": 8.508845829823084, ""y"": 72.04202832343536, ""width"": 37.405223251895535, ""height"": 4.568296025582458}, {""x"": 49.28390901432182, ""y"": 76.79305619004111, ""width"": 42.122999157540015, ""height"": 4.705344906349931}]"
15,30,263,8.424599831508003,76.51895842850617,36.39427127211457,4.97944266788488,"[{""x"": 8.424599831508003, ""y"": 76.51895842850617, ""width"": 36.39427127211457, ""height"": 4.9794426678848795}, {""x"": 74.55770850884583, ""y"": 81.49840109639105, ""width"": 17.017691659646168, ""height"": 4.659661946094107}]"
15,31,263,13.984835720303284,81.36135221562357,56.27632687447346,5.253540429419826,"[{""x"": 13.984835720303284, ""y"": 81.36135221562357, ""width"": 56.27632687447346, ""height"": 5.253540429419826}]"
15,32,264,31.17101937657961,12.928277752398357,60.06739679865206,5.253540429419826,"[{""x"": 31.17101937657961, ""y"": 12.928277752398357, ""width"": 60.06739679865206, ""height"": 5.253540429419826}]"
15,33,264,8.340353833192923,13.06532663316583,17.69165964616681,4.88807674737323,"[{""x"": 8.340353833192923, ""y"": 13.06532663316583, ""width"": 17.69165964616681, ""height"": 4.88807674737323}, {""x"": 13.816343723673125, ""y"": 18.04476930105071, ""width"": 77.92754844144903, ""height"": 5.162174508908177}]"
15,34,264,50.29486099410278,23.11557788944724,41.196293176074136,5.025125628140704,"[{""x"": 50.29486099410278, ""y"": 23.115577889447238, ""width"": 41.196293176074136, ""height"": 5.025125628140704}]"
15,35,264,8.593091828138164,23.206943809958887,37.06823925863522,4.705344906349931,"[{""x"": 8.593091828138164, ""y"": 23.206943809958887, ""width"": 37.06823925863522, ""height"": 4.705344906349931}, {""x"": 82.89806234203876, ""y"": 28.460484239378715, ""width"": 8.593091828138164, ""height"": 4.202832343535861}]"
15,36,264,27.54844144903117,27.95797167656464,51.558550968828975,4.933759707629054,"[{""x"": 27.54844144903117, ""y"": 27.95797167656464, ""width"": 51.558550968828975, ""height"": 4.933759707629054}]"
15,37,264,8.424599831508003,28.09502055733212,13.563605728727884,4.568296025582458,"[{""x"": 8.424599831508003, ""y"": 28.095020557332116, ""width"": 13.563605728727884, ""height"": 4.568296025582458}, {""x"": 71.77759056444819, ""y"": 33.02878026496117, ""width"": 19.460825610783488, ""height"": 4.705344906349931}]"
15,38,264,31.25526537489469,32.983097304705346,35.130581297388375,4.88807674737323,"[{""x"": 31.25526537489469, ""y"": 32.983097304705346, ""width"": 35.130581297388375, ""height"": 4.88807674737323}]"
15,39,264,8.761583824768323,32.93741434444952,17.523167649536646,4.79671082686158,"[{""x"": 8.761583824768323, ""y"": 32.93741434444952, ""width"": 17.523167649536646, ""height"": 4.79671082686158}, {""x"": 13.900589721988204, ""y"": 37.5513933302878, ""width"": 77.59056444818872, ""height"": 5.162174508908177}]"
15,40,264,45.324347093513055,42.48515303791686,46.16680707666386,5.162174508908177,"[{""x"": 45.324347093513055, ""y"": 42.48515303791686, ""width"": 46.16680707666386, ""height"": 5.162174508908177}]"
15,41,264,8.340353833192923,42.80493375970763,31.92923336141533,4.705344906349931,"[{""x"": 8.340353833192923, ""y"": 42.80493375970763, ""width"": 31.92923336141533, ""height"": 4.705344906349931}, {""x"": 74.3049705139006, ""y"": 47.9671082686158, ""width"": 17.186183656276327, ""height"": 4.29419826404751}]"
15,42,264,8.087615838247682,47.46459570580173,61.668070766638586,4.97944266788488,"[{""x"": 8.087615838247682, ""y"": 47.464595705801734, ""width"": 61.668070766638586, ""height"": 4.9794426678848795}, {""x"": 63.2687447346251, ""y"": 52.535404294198266, ""width"": 28.39090143218197, ""height"": 4.705344906349931}]"
15,43,264,13.900589721988204,52.30698949291914,44.48188711036226,5.070808588396528,"[{""x"": 13.900589721988204, ""y"": 52.30698949291914, ""width"": 44.48188711036226, ""height"": 5.070808588396528}]"
15,44,264,18.786857624262847,57.240749200548194,72.62005054759899,5.253540429419826,"[{""x"": 18.786857624262847, ""y"": 57.240749200548194, ""width"": 72.62005054759899, ""height"": 5.253540429419826}]"
15,45,264,8.424599831508003,58.10872544540886,5.391743892165122,4.0201005025125625,"[{""x"": 8.424599831508003, ""y"": 58.10872544540886, ""width"": 5.391743892165122, ""height"": 4.0201005025125625}, {""x"": 52.82224094355518, ""y"": 62.44860666971219, ""width"": 38.66891322662174, ""height"": 4.88807674737323}]"
15,46,264,13.732097725358043,62.311557788944725,34.70935130581297,4.751027866605756,"[{""x"": 13.732097725358045, ""y"": 62.311557788944725, ""width"": 34.70935130581297, ""height"": 4.751027866605756}]"
15,47,264,13.395113732097723,67.33668341708542,77.92754844144903,4.933759707629054,"[{""x"": 13.395113732097725, ""y"": 67.33668341708542, ""width"": 77.92754844144903, ""height"": 4.933759707629054}]"
15,48,264,14.658803706823925,72.3161260849703,76.32687447346251,4.659661946094107,"[{""x"": 14.658803706823925, ""y"": 72.3161260849703, ""width"": 76.32687447346251, ""height"": 4.659661946094107}]"
15,49,264,35.97304128053918,76.83873915029695,55.2653748946925,4.97944266788488,"[{""x"": 35.97304128053918, ""y"": 76.83873915029695, ""width"": 55.2653748946925, ""height"": 4.9794426678848795}]"
