"mushaf_key,surah_number,ayah_number,page_number,x,y,width,height,polygon",surah_number,ayah_number,page_number,x,y,width,height,polygon
douri,2,44,7,13.164556962025316,62.03746002740977,78.05907172995781,5.253540429419826,"[{""x"": 13.164556962025317, ""y"": 62.03746002740977, ""width"": 78.05907172995781, ""height"": 5.253540429419826}]"
douri,2,45,7,13.41772151898734,67.01690269529466,78.05907172995781,5.207857469164002,"[{""x"": 13.41772151898734, ""y"": 67.01690269529466, ""width"": 78.05907172995781, ""height"": 5.207857469164002}]"
douri,2,46,7,8.185654008438819,71.81361352215625,83.54430379746836,5.344906349931476,"[{""x"": 8.185654008438819, ""y"": 71.81361352215625, ""width"": 83.54430379746836, ""height"": 5.344906349931476}, {""x"": 72.65822784810126, ""y"": 77.24988579259936, ""width"": 19.240506329113924, ""height"": 4.476930105070808}]"
douri,2,47,7,7.848101265822785,77.02147099132024,59.83122362869199,5.025125628140704,"[{""x"": 7.848101265822785, ""y"": 77.02147099132024, ""width"": 59.83122362869199, ""height"": 5.025125628140704}, {""x"": 12.91139240506329, ""y"": 81.90954773869346, ""width"": 78.81856540084388, ""height"": 4.9794426678848795}]"
douri,2,48,8,8.860759493670885,13.293741434444954,82.53164556962025,4.842393787117405,"[{""x"": 8.860759493670885, ""y"": 13.293741434444954, ""width"": 82.53164556962025, ""height"": 4.842393787117405}, {""x"": 8.860759493670885, ""y"": 17.999086340794886, ""width"": 82.86919831223629, ""height"": 4.9794426678848795}, {""x"": 63.29113924050633, ""y"": 23.43535861123801, ""width"": 28.43881856540084, ""height"": 4.3855641845591595}]"
douri,2,49,8,8.354430379746836,22.978529008679764,50.71729957805907,4.888076747,"[{""x"": 8.354430379746836, ""y"": 22.978529008679764, ""width"": 50.71729957805907, ""height"": 4.88807674737323}, {""x"": 37.721518987341774, ""y"": 27.86660575605299, ""width"": 54.092827004219416, ""height"": 4.933759707629054}]"
douri,2,50,8,8.354430379746836,28.369118318867063,24.55696202531645,4.339881224303334,"[{""x"": 8.354430379746836, ""y"": 28.369118318867066, ""width"": 24.556962025316455, ""height"": 4.339881224303334}, {""x"": 13.502109704641349, ""y"": 32.663316582914575, ""width"": 77.13080168776372, ""height"": 4.9794426678848795}]"
douri,2,51,8,13.58649789029536,37.64275925079945,78.31223628691984,4.888076747,"[{""x"": 13.58649789029536, ""y"": 37.64275925079945, ""width"": 78.31223628691984, ""height"": 4.88807674737323}]"
douri,2,52,8,13.670886075949369,42.48515303791686,78.14345991561181,4.979442668,"[{""x"": 13.670886075949367, ""y"": 42.48515303791686, ""width"": 78.14345991561181, ""height"": 4.9794426678848795}]"
douri,2,53,8,8.438818565400844,47.32754682503426,82.53164556962025,5.253540429419826,"[{""x"": 8.438818565400844, ""y"": 56.96665143901325, ""width"": 83.0379746835443, ""height"": 5.299223389675651}, {""x"": 8.438818565400844, ""y"": 47.32754682503426, ""width"": 82.53164556962025, ""height"": 5.253540429419826}, {""x"": 8.438818565400844, ""y"": 52.26130653266332, ""width"": 82.9535864978903, ""height"": 5.116491548652353}, {""x"": 79.32489451476793, ""y"": 62.722704431247145, ""width"": 12.236286919831224, ""height"": 4.111466423024212}]"
douri,2,54,8,8.776371308016879,62.12882594792143,65.82278481012658,5.070808588396528,"[{""x"": 8.776371308016879, ""y"": 62.12882594792143, ""width"": 65.82278481012658, ""height"": 5.070808588396528}, {""x"": 29.19831223628692, ""y"": 67.06258565555048, ""width"": 62.447257383966246, ""height"": 5.070808588396528}]"
douri,2,55,8,8.438818565400844,67.29100046,15.864978902953586,4.705344906349931,"[{""x"": 8.438818565400844, ""y"": 67.2910004568296, ""width"": 15.864978902953586, ""height"": 4.705344906349931}, {""x"": 39.57805907172996, ""y"": 71.9506624029237, ""width"": 52.151898734177216, ""height"": 5.116491548652353}]"
douri,2,56,8,8.607594937,72.31612608,26.075949367088608,4.705344906349931,"[{""x"": 8.60759493670886, ""y"": 76.88442211055276, ""width"": 82.86919831223629, ""height"": 5.116491548652353}, {""x"": 8.60759493670886, ""y"": 72.3161260849703, ""width"": 26.075949367088608, ""height"": 4.705344906349931}, {""x"": 13.333333333333334, ""y"": 81.772498857926, ""width"": 78.48101265822784, ""height"": 4.88807674737323}]"
douri,2,57,9,8.607594937,13.202375513933305,82.70042194092827,4.933759707629054,"[{""x"": 8.60759493670886, ""y"": 13.202375513933303, ""width"": 82.70042194092827, ""height"": 4.933759707629054}, {""x"": 8.270042194092827, ""y"": 17.999086340794886, ""width"": 83.29113924050633, ""height"": 5.070808588396528}, {""x"": 33.164556962025316, ""y"": 22.93284604842394, ""width"": 58.565400843881854, ""height"": 4.933759707629054}]"
douri,2,58,9,8.270042194092827,22.93284604842394,19.49367088607595,4.888076747,"[{""x"": 8.270042194092827, ""y"": 27.729556875285517, ""width"": 83.54430379746836, ""height"": 4.9794426678848795}, {""x"": 8.270042194092827, ""y"": 22.93284604842394, ""width"": 19.49367088607595, ""height"": 4.88807674737323}, {""x"": 33.83966244725738, ""y"": 32.754682503426224, ""width"": 57.63713080168776, ""height"": 4.88807674737323}]"
douri,2,59,9,8.523206751054852,33.21151210598447,20.506329113924053,4.248515303791685,"[{""x"": 8.523206751054852, ""y"": 37.64275925079945, ""width"": 83.45991561181435, ""height"": 4.79671082686158}, {""x"": 8.270042194092827, ""y"": 42.30242119689356, ""width"": 82.86919831223629, ""height"": 5.207857469164002}, {""x"": 8.523206751054852, ""y"": 33.21151210598447, ""width"": 20.506329113924053, ""height"": 4.248515303791685}, {""x"": 14.51476793248945, ""y"": 47.41891274554591, ""width"": 77.0464135021097, ""height"": 5.070808588396528}]"
douri,2,60,9,8.438818565400844,52.535404294198266,82.44725738396625,4.888076747,"[{""x"": 8.438818565400844, ""y"": 52.535404294198266, ""width"": 82.44725738396625, ""height"": 4.88807674737323}, {""x"": 8.60759493670886, ""y"": 57.240749200548194, ""width"": 82.9535864978903, ""height"": 5.070808588396528}, {""x"": 8.354430379746836, ""y"": 71.85929648241206, ""width"": 83.20675105485232, ""height"": 5.207857469164002}, {""x"": 8.438818565400844, ""y"": 76.79305619004111, ""width"": 83.20675105485232, ""height"": 5.162174508908177}, {""x"": 8.354430379746836, ""y"": 66.87985381452718, ""width"": 83.37552742616033, ""height"": 5.344906349931476}, {""x"": 8.523206751054852, ""y"": 61.9004111466423, ""width"": 83.0379746835443, ""height"": 5.344906349931476}, {""x"": 13.333333333333334, ""y"": 81.81818181818183, ""width"": 77.80590717299577, ""height"": 4.9794426678848795}]"
douri,2,61,10,8.270042194092827,13.202375513933305,83.20675105485232,5.070808588396528,"[{""x"": 8.60759493670886, ""y"": 18.13613522156236, ""width"": 83.12236286919831, ""height"": 5.025125628140704}, {""x"": 8.270042194092827, ""y"": 13.202375513933303, ""width"": 83.20675105485232, ""height"": 5.070808588396528}, {""x"": 30.548523206751057, ""y"": 23.02421196893559, ""width"": 61.09704641350211, ""height"": 5.116491548652353}]"
douri,2,62,10,8.270042194092827,23.069894929191413,16.877637130801688,4.659661946094107,"[{""x"": 8.185654008438819, ""y"": 27.86660575605299, ""width"": 83.54430379746836, ""height"": 4.842393787117405}, {""x"": 8.270042194092827, ""y"": 23.069894929191413, ""width"": 16.877637130801688, ""height"": 4.659661946094107}, {""x"": 29.282700421940927, ""y"": 32.7089995431704, ""width"": 62.447257383966246, ""height"": 4.88807674737323}]"
douri,2,63,10,8.270042194092827,32.57195066240293,15.780590717299578,5.025125628140704,"[{""x"": 8.354430379746836, ""y"": 37.597076290543626, ""width"": 83.37552742616033, ""height"": 4.933759707629054}, {""x"": 8.270042194092827, ""y"": 32.57195066240293, ""width"": 15.780590717299578, ""height"": 5.025125628140704}, {""x"": 76.70886075949367, ""y"": 42.850616719963455, ""width"": 15.021097046413502, ""height"": 4.88807674737323}]"
douri,2,64,10,8.185654008438819,42.48515303791686,63.54430379746835,5.116491548652353,"[{""x"": 8.185654008438819, ""y"": 42.48515303791686, ""width"": 63.54430379746835, ""height"": 5.116491548652353}, {""x"": 46.58227848101266, ""y"": 47.464595705801734, ""width"": 44.9789029535865, ""height"": 5.025125628140704}]"
douri,2,65,10,8.354430379746836,47.73869346733669,33.08016877637131,4.6139789858382825,"[{""x"": 8.354430379746836, ""y"": 47.73869346733669, ""width"": 33.08016877637131, ""height"": 4.6139789858382825}, {""x"": 28.607594936708864, ""y"": 52.58108725445408, ""width"": 63.037974683544306, ""height"": 4.79671082686158}]"
douri,2,66,10,8.270042194092827,52.80950205573321,15.105485232067512,4.202832343535861,"[{""x"": 7.679324894514767, ""y"": 57.240749200548194, ""width"": 84.30379746835443, ""height"": 4.9794426678848795}, {""x"": 8.270042194092827, ""y"": 52.80950205573321, ""width"": 15.105485232067512, ""height"": 4.202832343535861}, {""x"": 12.91139240506329, ""y"": 62.03746002740977, ""width"": 78.48101265822784, ""height"": 5.299223389675651}]"
