number,surah_id,no_ayah,page_id,x,y
470,3,177,73,245,301
471,3,178,73,309,378
472,3,179,73,128,496
473,3,180,73,60,611
474,3,181,74,243,145
475,3,182,74,199,184
476,3,183,74,395,341
477,3,184,74,144,381
478,3,185,74,174,499
479,3,186,74,59,615
480,3,187,75,231,145
481,3,188,75,132,224
482,3,189,75,97,262
483,3,190,75,294,340
484,3,191,75,60,420
485,3,192,75,348,497
486,3,193,75,222,577
487,3,194,75,59,618
488,3,195,76,60,222
489,3,196,76,135,260
490,3,197,76,192,300
491,3,198,76,106,380
492,3,199,76,267,536
493,3,200,76,58,575
494,4,1,77,190,182
495,4,2,77,314,261
496,4,3,77,109,339
497,4,4,77,332,416
498,4,5,77,98,457
499,4,6,77,58,614
500,4,7,78,335,144
501,4,8,78,395,223
502,4,9,78,86,260
503,4,10,78,184,340
504,4,11,78,58,613
505,4,12,79,307,461
506,4,13,79,398,579
507,4,14,79,58,619
508,4,15,80,59,143
509,4,16,80,59,222
510,4,17,80,208,341
511,4,18,80,163,460
512,4,19,80,61,617
513,4,20,81,264,144
514,4,21,81,395,224
515,4,22,81,344,302
516,4,23,81,60,616
517,4,24,82,341,264
518,4,25,82,396,579
519,4,26,82,60,619
520,4,27,83,176,101
521,4,28,83,186,142
522,4,29,83,199,260
523,4,30,83,356,338
524,4,31,83,61,376
525,4,32,83,351,534
526,4,33,83,60,611
527,4,34,84,210,259
528,4,35,84,349,379
529,4,36,84,168,535
530,4,37,84,59,613
531,4,38,85,363,143
532,4,39,85,163,183
533,4,40,85,304,261
534,4,41,85,197,302
535,4,42,85,322,379
536,4,43,85,249,575
537,4,44,85,58,617
538,4,45,86,62,64
539,4,46,86,337,261
540,4,47,86,321,378
541,4,48,86,399,455
542,4,49,86,284,497
543,4,50,86,248,537
544,4,51,86,58,616
545,4,52,87,61,67
546,4,53,87,83,104
547,4,54,87,59,183
548,4,55,87,64,224
549,4,56,87,315,341
550,4,57,87,171,418
551,4,58,87,359,538
552,4,59,87,63,616
553,4,60,88,300,184
554,4,61,88,331,263
555,4,62,88,272,340
556,4,63,88,255,420
557,4,64,88,202,536
558,4,65,88,62,615
559,4,66,89,157,146
560,4,67,89,245,185
561,4,68,89,397,224
562,4,69,89,241,302
563,4,70,89,316,343
564,4,71,89,205,381
565,4,72,89,297,459
566,4,73,89,272,536
567,4,74,89,60,616
568,4,75,90,396,182
569,4,76,90,322,260
570,4,77,90,132,419
571,4,78,90,358,575
572,4,79,90,59,615
573,4,80,91,297,105
574,4,81,91,398,222
575,4,82,91,207,263
576,4,83,91,59,380
577,4,84,91,304,499
578,4,85,91,227,578
579,4,86,91,59,616
580,4,87,92,229,103
581,4,88,92,144,182
582,4,89,92,120,300
583,4,90,92,58,457
584,4,91,92,59,613
585,4,92,93,268,340
586,4,93,93,161,419
587,4,94,93,61,615
588,4,95,94,185,183
589,4,96,94,222,223
590,4,97,94,257,341
591,4,98,94,58,381
592,4,99,94,101,418
593,4,100,94,149,538
594,4,101,94,61,616
595,4,102,95,60,341
596,4,103,95,153,458
597,4,104,95,311,576
598,4,105,95,58,615
599,4,106,96,118,66
600,4,107,96,314,145
601,4,108,96,156,223
602,4,109,96,131,302
603,4,110,96,346,381
604,4,111,96,214,420
605,4,112,96,397,497
606,4,113,96,59,617
607,4,114,97,86,146
608,4,115,97,344,264
609,4,116,97,350,340
610,4,117,97,267,381
611,4,118,97,219,421
612,4,119,97,134,540
613,4,120,97,106,576
614,4,121,97,63,617
615,4,122,98,178,142
616,4,123,98,103,222
617,4,124,98,87,299
618,4,125,98,86,379
619,4,126,98,341,456
620,4,127,98,61,614
621,4,128,99,209,184
622,4,129,99,297,302
623,4,130,99,194,341
624,4,131,99,397,499
625,4,132,99,397,538
626,4,133,99,268,577
627,4,134,99,62,617
628,4,135,100,99,179
629,4,136,100,311,337
630,4,137,100,352,416
631,4,138,100,102,414
632,4,139,100,179,494
633,4,140,100,58,612
634,4,141,101,350,222
635,4,142,101,309,301
636,4,143,101,129,340
637,4,144,101,81,419
638,4,145,101,395,496
639,4,146,101,226,577
640,4,147,101,59,615
641,4,148,102,276,102
642,4,149,102,177,141
643,4,150,102,280,259
644,4,151,102,239,299
645,4,152,102,200,377
646,4,153,102,146,535
647,4,154,102,63,611
648,4,155,103,268,142
649,4,156,103,344,182
650,4,157,103,298,301
651,4,158,103,396,340
652,4,159,103,200,377
653,4,160,103,359,457
654,4,161,103,87,496
655,4,162,103,56,616
656,4,163,104,269,183
657,4,164,104,322,261
658,4,165,104,397,340
659,4,166,104,192,379
660,4,167,104,109,418
661,4,168,104,352,496
662,4,169,104,282,537
663,4,170,104,59,616
664,4,171,105,172,259
665,4,172,105,313,377
666,4,173,105,134,496
667,4,174,105,399,575
668,4,175,105,58,615
669,4,176,106,59,222
670,5,1,106,316,418
671,5,2,106,62,616
672,5,3,107,142,301
673,5,4,107,59,417
674,5,5,107,61,616
675,5,6,108,59,341
676,5,7,108,291,459
677,5,8,108,219,578
678,5,9,108,62,617
679,5,10,109,330,103
680,5,11,109,311,223
681,5,12,109,161,458
682,5,13,109,59,616
683,5,14,110,222,182
684,5,15,110,59,302
685,5,16,110,148,420
686,5,17,110,61,616
687,5,18,111,227,185
688,5,19,111,319,302
689,5,20,111,154,381
690,5,21,111,175,460
691,5,22,111,239,537
692,5,23,111,61,618
693,5,24,112,139,101
694,5,25,112,320,183
695,5,26,112,398,260
696,5,27,112,193,339
697,5,28,112,311,417
698,5,29,112,124,456
699,5,30,112,60,497
700,5,31,112,59,615
701,5,32,113,94,223
702,5,33,113,395,418
703,5,34,113,230,457
704,5,35,113,254,537
705,5,36,113,61,617
